,client_id,visit_id,process_step,date_time
46634,7179755,264484508_5982901710_928530,confirm,2017-03-15 00:26:24
51399,9584408,484298588_81471639218_981974,confirm,2017-03-15 06:16:08
104165,4856478,71742713_20814504119_232694,confirm,2017-03-15 08:02:22
24018,8957145,796005133_68128901251_685312,start,2017-03-15 10:07:43
99203,8668672,502712342_96970913102_521366,confirm,2017-03-15 11:07:59
95157,4908184,315008965_48059247230_849397,confirm,2017-03-15 11:09:32
76341,8463143,339755614_28904978326_103785,confirm,2017-03-15 11:09:45
73779,9257507,748424693_11873178338_881033,confirm,2017-03-15 11:11:50
97517,8207810,3986084_45529233769_184208,step_3,2017-03-15 11:12:30
127779,6970695,410026090_4623813800_791038,start,2017-03-15 11:14:45
116715,5710023,70467230_26553817244_903802,confirm,2017-03-15 11:14:46
120230,3446089,235269237_67908754596_820417,start,2017-03-15 11:15:25
105069,9779317,63012984_3039204387_14908,confirm,2017-03-15 11:15:45
72792,2436415,260118596_35136348950_772947,confirm,2017-03-15 11:17:04
115952,4197171,718740124_29434330480_96968,start,2017-03-15 11:17:39
120225,3446089,542212856_63070058727_535274,confirm,2017-03-15 11:20:20
48272,2593251,526653460_28873463_73214,confirm,2017-03-15 11:21:19
104659,7332628,691069194_46455068953_86592,confirm,2017-03-15 11:25:42
7517,4304665,890919474_99133285481_362803,confirm,2017-03-15 11:25:56
5713,8761665,520753132_2488365392_477569,start,2017-03-15 11:31:46
67334,7581994,496412752_56703787287_580929,confirm,2017-03-15 11:34:26
81976,3992880,114237118_48802255063_13369,step_3,2017-03-15 11:35:13
4248,1939550,725845229_34570150064_85268,confirm,2017-03-15 11:41:28
68421,9522546,411500211_4272948622_588652,confirm,2017-03-15 11:42:15
31047,825006,977716009_71431544050_991739,confirm,2017-03-15 11:45:18
119527,8081026,931711774_81279388759_412516,confirm,2017-03-15 11:47:41
17034,1583051,850686451_43872004031_600313,confirm,2017-03-15 11:48:00
16278,3617707,654444534_18403334119_253425,confirm,2017-03-15 11:49:26
26967,5430137,680042387_60753984310_351743,step_1,2017-03-15 11:49:42
120410,5829895,746877855_2613476091_190281,step_1,2017-03-15 11:50:35
56257,71296,934336554_58561471443_611213,step_1,2017-03-15 11:57:40
139650,3251101,196269127_64445550155_903131,step_1,2017-03-15 11:58:04
3099,2482224,458449212_38530054318_670759,start,2017-03-15 11:58:46
98636,1060628,224992524_32743292755_245091,confirm,2017-03-15 12:00:22
89837,1280941,271309292_59602655375_838062,confirm,2017-03-15 12:03:02
22810,3370908,671734926_30271154094_242018,confirm,2017-03-15 12:14:09
122067,1370785,649949245_54175849820_152827,confirm,2017-03-15 12:15:12
5446,6710265,190737648_26032054997_115658,confirm,2017-03-15 12:22:13
106765,6285819,197431192_69207883490_419878,confirm,2017-03-15 12:28:12
88236,7130959,672054433_73893054796_564659,confirm,2017-03-15 12:30:41
92465,8248476,91840697_75643577857_219426,confirm,2017-03-15 12:31:54
48048,554055,7098722_56603952678_270902,start,2017-03-15 12:40:41
100804,9472462,18334755_25477906125_821665,step_1,2017-03-15 12:41:39
26015,2912218,265636173_94539838386_445689,confirm,2017-03-15 12:44:55
115962,4197171,522122359_6137564840_546783,start,2017-03-15 12:45:03
14083,7355316,698123785_48600967706_817201,confirm,2017-03-15 12:52:15
81270,394456,812199375_34569042784_928946,step_3,2017-03-15 12:53:25
4866,4901308,12419489_83568439233_464455,step_1,2017-03-15 12:54:17
105059,3330070,778838865_67225111288_37285,confirm,2017-03-15 12:56:10
115960,4197171,742363723_13355446284_710430,start,2017-03-15 12:56:30
65912,206829,802990328_37378200083_876103,step_3,2017-03-15 12:57:29
140617,1595181,281293202_13993234494_390204,confirm,2017-03-15 13:00:18
115956,4197171,129272911_80225119652_54280,confirm,2017-03-15 13:06:47
18295,8409579,371968407_45329029456_828758,confirm,2017-03-15 13:08:08
35741,3750586,708080909_87821138636_262970,confirm,2017-03-15 13:12:23
3038,7538120,997473714_76714384382_946211,confirm,2017-03-15 13:15:37
116143,1884535,704541460_2744870957_322039,confirm,2017-03-15 13:15:43
120534,353281,146966351_55838633467_83095,step_1,2017-03-15 13:16:52
15884,5615347,502319171_57332719905_123788,confirm,2017-03-15 13:36:58
51948,9005693,791717110_95283048077_266303,step_1,2017-03-15 13:51:24
71116,2727403,782276371_15915130893_931616,confirm,2017-03-15 13:52:22
34460,9550257,232472854_18898417015_158380,confirm,2017-03-15 13:54:28
122816,4435242,50236937_88151105367_203056,start,2017-03-15 14:03:38
131208,7516827,988283637_67551730169_964981,confirm,2017-03-15 14:05:49
114773,7889133,707172989_47616770197_841073,step_3,2017-03-15 14:06:15
163,598943,185716042_27761906629_561275,confirm,2017-03-15 14:12:28
23757,2668062,159811231_50924548820_273379,confirm,2017-03-15 14:13:20
43677,3610949,919679913_43508497064_938465,confirm,2017-03-15 14:17:31
27322,7111189,235515742_13877799802_669661,confirm,2017-03-15 14:24:52
87674,1008407,359751625_68247057638_409443,confirm,2017-03-15 14:32:51
123900,129659,884035256_70279510759_739062,confirm,2017-03-15 14:40:33
120408,5829895,912125904_51579932097_510870,step_1,2017-03-15 14:43:15
15141,3300583,854502052_54832496754_615174,step_3,2017-03-15 14:46:18
63825,7460812,1948061_55561452226_281335,start,2017-03-15 14:49:48
7465,8790044,795286355_72710151970_146828,step_1,2017-03-15 14:55:58
83786,4103512,549551299_48149509962_884306,start,2017-03-15 14:56:31
50921,4034394,794460621_40412253094_640964,step_3,2017-03-15 15:04:16
